layer,run_type,timesteps_count,ce_mean,ce_std,ce_min,ce_max,final_timestep,final_ce
2,distill,7,4.665668722561428,0.17884111305538436,4.531994938850403,4.997346973419189,20000,4.543082118034363
2,naive,7,5.182662364414759,0.18890492463487696,4.988442277908325,5.4742673397064205,20000,5.029589939117432
4,distill,7,4.379717138835362,0.11415516777931296,4.173301804065704,4.523609936237335,20000,4.359137105941772
4,naive,7,4.191159994261605,0.08288631140043297,4.029130399227142,4.281132364273072,20000,4.281132364273072
6,distill,7,7.519857352120536,0.2609695745638154,7.070522427558899,7.739031338691712,20000,7.070522427558899
6,naive,7,7.188812007222857,0.27871143595748166,6.962936544418335,7.688028573989868,20000,7.03307318687439
8,distill,7,3.9164419123104643,0.1879600951086469,3.653418242931366,4.168408048152924,20000,3.95356205701828
8,naive,7,3.7808739015034263,0.10505565349365616,3.607954132556915,3.913082718849182,20000,3.885770344734192
10,distill,7,3.906967711448669,0.4787060302812633,3.321878099441528,4.359424662590027,20000,4.302768445014953
10,naive,7,4.311345216206141,0.2640856032869278,4.122972583770752,4.880148363113404,20000,4.143915700912475
12,distill,7,4.142861717087882,0.3957817304684264,3.611434674263001,4.4979626655578615,20000,4.4979626655578615
12,naive,7,4.529370491845267,0.2361269951631435,4.359860849380493,5.041031455993652,20000,4.443252396583557
